ERR163058_1.fastq.res,ERR163059_1.fastq.res,ERR163060_1.fastq.res,ERR163061_1.fastq.res,ERR163064_1.fastq.res,ERR163065_1.fastq.res,ERR163070_1.fastq.res,ERR163078_1.fastq.res,ERR163079_1.fastq.res,ERR163080_1.fastq.res,ERR163092.fastq.res,ERR163093.fastq.res,ERR163094.fastq.res,ERR163096.fastq.res,ERR163098.fastq.res,SRR1164570_1.fastq.res,SRR1170849_1.fastq.res,SRR1212252_1.fastq.res,SRR1212305_1.fastq.res,SRR1212311_1.fastq.res,SRR1212361_1.fastq.res,SRR1212370_1.fastq.res,SRR1212376_1.fastq.res,SRR1220778_1.fastq.res,SRR1258435_1.fastq.res,SRR1258436_1.fastq.res,SRR1258437_1.fastq.res,SRR1258438_1.fastq.res,SRR1258439_1.fastq.res,SRR1258440_1.fastq.res,SRR1258441_1.fastq.res,SRR1258442_1.fastq.res,SRR1258561_1.fastq.res,SRR1288381_1.fastq.res,SRR1422647_1.fastq.res,SRR1535019.fastq.res,SRR1535019_1.fastq.res,SRR1535020_1.fastq.res,SRR1535021_1.fastq.res,SRR1535022_1.fastq.res,SRR1535136_1.fastq.res,SRR1581232_1.fastq.res,SRR1604898_1.fastq.res,SRR1604899_1.fastq.res,SRR1604909_1.fastq.res,SRR1604929_1.fastq.res,SRR1638861_1.fastq.res,SRR1638886_1.fastq.res,SRR1638899_1.fastq.res,SRR1652398.fastq.res,SRR1652400.fastq.res,SRR1802684_1.fastq.res,SRR1802687_1.fastq.res,SRR1802690_1.fastq.res,SRR1946935_1.fastq.res,SRR2085691_1.fastq.res,SRR2102455_1.fastq.res,SRR2102496_1.fastq.res,SRR2124435_1.fastq.res,SRR2174120_1.fastq.res,SRR2728270_1.fastq.res,SRR516407_1.fastq.res,SRR516410_1.fastq.res,SRR516427_1.fastq.res,SRR955259_1.fastq.res,SRR955260_1.fastq.res,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species
0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Archaea,unk_k,Candidatus Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,unk_f,unk_g,uncultured Methanomassiliicoccales archaeon
0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Archaea,unk_k,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,,
0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1900.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Archaea,unk_k,Crenarchaeota,Thermoprotei,Desulfurococcales,,,
0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Archaea,unk_k,Crenarchaeota,Thermoprotei,Desulfurococcales,Pyrodictiaceae,,
0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,489.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Archaea,unk_k,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,,
0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1172.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Archaea,unk_k,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,,
0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Archaea,unk_k,Crenarchaeota,Thermoprotei,unk_o,unk_f,unk_g,uncultured Thermoprotei archaeon
0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.72,0.0,5.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Archaea,unk_k,Crenarchaeota,unk_c,unk_o,unk_f,unk_g,uncultured crenarchaeote
0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Archaea,unk_k,Euryarchaeota,Halobacteria,Halobacteriales,Halococcaceae,Halococcus,Halococcus sp. IARI-BGAB1
0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Archaea,unk_k,Euryarchaeota,Halobacteria,Halobacteriales,Halococcaceae,,
